No,Algorithm,Train_Mean_TD_ALL,Train_Std_TD_ALL,Train_Mean_TD_0,Train_Std_TD_0,Train_Mean_TD_1,Train_Std_TD_1,Train_Mean_TD_2,Train_Std_TD_2,Train_Mean_TD_3,Train_Std_TD_3,Test_Mean_TD_ALL,Test_Std_TD_ALL,Test_Mean_TD_0,Test_Std_TD_0,Test_Mean_TD_1,Test_Std_TD_1,Test_Mean_TD_2,Test_Std_TD_2,Test_Mean_TD_3,Test_Std_TD_3
0,STPMPA,52.5920372506301,152.35083288495014,17.51109350237718,73.74953693493558,46.40104620749782,125.94025347129998,76.09601745771958,185.50318778709632,51.98047589993899,161.28951999070875,55.646424759871934,154.70873987850436,18.08671713695802,74.13184193543994,48.94020356234097,128.28011944666756,79.24156187954996,186.65812956535117,55.28498226251478,164.14080950220023
1,MPA,111.25768393556814,218.15351819241752,83.49610529143165,202.50086213544733,102.00702864171498,184.0516158985233,129.2451531329025,240.12927152347999,115.60173967070519,226.91478190033504,99.52390762224873,205.88419485011062,63.16945606694561,181.63515744460733,84.38064791133844,163.6476459901391,123.99050203527815,232.54051290141578,105.74869739478957,216.64464909447716
2,EO,74.69776814734561,185.75248180188748,27.281026726647262,110.20529034492677,67.86263832777095,156.20042039079271,91.55397290881162,206.8755968031082,89.81620614715926,213.135505296849,77.52187126885921,185.1464617313723,31.01654031702274,118.42907424191768,67.3032119914347,152.32724174095347,101.70473917490624,211.24028094067222,85.70609462710505,205.3232508913701
3,GWO,285.4772092126819,279.1132653329817,251.59668025626092,252.1320135225009,380.95911770298534,257.22562155831827,270.90292177191327,285.4463954505703,234.02616330114134,285.298665835027,285.97865890626895,277.5302543966855,240.45582486317434,243.11150100060752,386.16674386289947,249.6554624230189,268.70489296636083,282.5277801402588,234.49931600547197,290.6993503409215
4,WOA,304.2607494474583,285.73137946338187,278.64171779141105,269.2759637249377,360.1313438509789,269.3266647685139,298.44083526682135,286.37089051971583,271.51279656267513,301.9318666774738,300.53236040609136,282.053502266186,269.55317394888704,265.43010224130336,359.4658356417359,267.7049227347802,289.91285140562246,279.3798339213295,268.8915962207857,299.89687964809406
5,DE,228.8868587491216,272.1774028391245,264.8637469586375,278.9001529288248,284.1953578336557,280.0781625114337,202.32942732942732,266.18252818673403,194.7445494887131,259.2066301883775,224.81966973549612,268.0616578052099,261.9968253968254,278.4101519132063,278.2056074766355,274.1383672669853,199.72546296296295,263.5804837021788,189.12092793682132,252.93535316143928
6,PSO,156.86476709392167,233.6522986310325,147.4816372301654,245.31829421063378,147.49675324675326,207.47722277217943,156.98798756359525,232.4174336817647,170.49049000644746,249.07970535437974,156.212185341947,232.2424952674109,148.9049707602339,245.14886819569597,150.00261324041813,207.6797990847324,149.6762886597938,226.98525548487018,174.21256239600666,251.45607283244522
7,ABC,157.21693601168002,249.53882007979234,151.8414271555996,249.4717033745845,131.63383939272873,199.25356605395825,178.4407056517478,261.91773866153466,159.74124036440085,272.4155523250584,161.35758183870564,250.91604642232616,150.94952132288947,251.70528076649737,138.86067961165048,202.67995601541833,180.5470287288469,262.09244715931106,165.65002249212776,274.79284122028986
