,Model,Precision,Recall,f1 Score,Accuracy(Training),Accuracy(Test),Training Time,Testing Time (Train),TestingTime
0,RF,0.9750479348032889,0.9737379803087101,0.973719523316848,0.973616162183126,0.9737379803087101,16.106048822402954,1.7533087730407715,0.788609504699707
0,RF,0.975102354260139,0.973798588184808,0.9737804085066585,0.9735892916908376,0.973798588184808,16.643659353256226,1.8258180618286133,0.7864737510681152
0,RF,0.975022287258666,0.9737094179762961,0.9736912937929612,0.9736278060631176,0.9737094179762961,17.242139101028442,1.8835639953613281,0.807844877243042
0,RF,0.9747615239993643,0.97342100808314,0.9734022749555026,0.9737505146445676,0.97342100808314,18.341432094573975,1.6675894260406494,0.7160613536834717
0,RF,0.9750630390645976,0.973754699722806,0.9737366009073073,0.9736089967185158,0.973754699722806,17.085370540618896,1.7383525371551514,0.74570631980896
0,RF,0.9749411573726199,0.973618854483276,0.9736007946569395,0.9736666189964229,0.973618854483276,15.813661575317383,1.6925113201141357,0.7270617485046387
0,RF,0.9749737540519535,0.9736578664495,0.9736396342578318,0.9736496010179737,0.9736578664495,15.979244947433472,1.6732711791992188,0.7399930953979492
0,RF,0.9749600179291884,0.9736397537508961,0.9736218980341995,0.9736570650436093,0.9736397537508961,15.98078989982605,1.6942558288574219,0.7280683517456055
0,RF,0.9749667930983495,0.9736495067424521,0.9736303867142083,0.9736534823113042,0.9736495067424521,16.52310538291931,1.6991961002349854,0.7340400218963623
0,RF,0.97507944490703,0.97377281242141,0.9737549392320449,0.9735997413267276,0.97377281242141,16.364681005477905,1.7423484325408936,0.7918868064880371
0,RF,0.9749902563511346,0.97367528250585,0.97365640840742,0.9736427341143888,0.97367528250585,16.270811557769775,1.881972312927246,0.7659497261047363
0,RF,0.9750698873416963,0.9737623627876001,0.9737444787028101,0.9736048168641598,0.9737623627876001,15.9639253616333,1.850050926208496,0.7955989837646484
0,RF,0.9749993339443561,0.973685035497406,0.9736660959998439,0.9736391513820838,0.973685035497406,17.385793924331665,1.8687360286712646,0.7998745441436768
0,RF,0.9750890628469148,0.973784655339728,0.9737664477299816,0.9735946657892953,0.973784655339728,17.011913299560547,1.796199083328247,0.7870278358459473
0,RF,0.9748797177657421,0.9735512801846381,0.9735328147451477,0.9736955794158892,0.9735512801846381,18.644669771194458,1.8660123348236084,0.8006284236907959
0,RF,0.9749784841785837,0.97366134966077,0.9736429717605469,0.973648406773872,0.97366134966077,15.065798282623291,1.6466174125671387,0.7061161994934082
0,RF,0.9749510282668371,0.973630697401594,0.9736121301021355,0.9736621405810415,0.973630697401594,15.784538745880127,1.6864912509918213,0.7230677604675293
0,RF,0.9749124226347461,0.973588898866354,0.9735698276112813,0.9736797556815416,0.973588898866354,15.221990823745728,1.5897774696350098,0.6801819801330566
0,RF,0.9751073181889075,0.9738041613228401,0.9737860344064919,0.9735866046416088,0.9738041613228401,16.237632274627686,1.6895802021026611,0.724036693572998
0,RF,0.974909221489586,0.9735840223705761,0.9735656070084954,0.9736812484866688,0.9735840223705761,16.024765014648438,1.668186902999878,0.7160983085632324
0,RF,0.9750228591615214,0.973710811260804,0.9736924680896849,0.9736272089410667,0.973710811260804,16.885295152664185,1.692507028579712,0.7409961223602295
0,RF,0.974904343873479,0.9735805391593061,0.9735616313776472,0.9736827412917959,0.9735805391593061,15.672242403030396,1.6436069011688232,0.7081620693206787
0,RF,0.9748781884756162,0.973548493615622,0.9735306483415805,0.9736970722210163,0.973548493615622,16.13782262802124,1.7702665328979492,0.7587993144989014
0,RF,0.9749487157416756,0.9736265175480701,0.973608751258711,0.9736627377030924,0.9736265175480701,15.293752670288086,1.8151464462280273,0.7806015014648438
0,RF,0.9750882017297338,0.973782565412966,0.9737645270811323,0.973595860033397,0.973782565412966,17.03086566925049,1.8238615989685059,0.7849018573760986
0,RF,0.9747972437530676,0.9734586267648561,0.9734407312542647,0.9737349894712455,0.9734586267648561,18.800485372543335,1.8400797843933105,0.7955965995788574
0,RF,0.9749032167127739,0.9735791458747981,0.973559827589052,0.9736836369748723,0.9735791458747981,15.983323812484741,1.7317116260528564,0.7469735145568848
0,RF,0.9747086010418572,0.9733597035647881,0.9733418200430298,0.9737779822589068,0.9733597035647881,16.107430458068848,1.7191555500030518,0.7380373477935791
0,RF,0.975031637447109,0.9737184743255981,0.9737009415958305,0.9736245218918379,0.9737184743255981,15.741408824920654,1.7154066562652588,0.7304565906524658
0,RF,0.9747979850338815,0.973460020049364,0.9734417617232181,0.9737343923491946,0.973460020049364,16.386072635650635,1.7209410667419434,0.7399959564208984
